,Control_1,Hot_1,Control_2,Hot_2,pval.heat,padj.heat
isogroup103750,4.30083781804542,5.27444065619465,5.11863360201098,4.56984927891642,0.675435144517178,0.939558090305841
isogroup103776,3.76662773517501,4.0297847953516,3.98426580737371,3.94750887672279,0.656267822732292,0.932877661139315
isogroup103797,6.18669835376844,5.54715290537906,5.9681849962913,4.65320379276016,0.0415509953765612,0.246191129159231
isogroup103803,7.14646530276834,8.69651590944056,7.44200021371684,6.74917175318711,0.166869081122506,0.579349512500356
isogroup103821,6.1910515247434,5.78414258625077,5.99730568669911,4.97134486798676,0.109096192634034,0.460528110724655
isogroup103864,5.96109499106542,6.4346072115902,4.63642714519263,4.41600266861676,0.643470182702244,0.92834947335514
isogroup103904,4.89923848361324,4.89378911786144,4.92929006947813,5.06400749299194,0.79404892499261,0.964110368053334
isogroup103948,6.0078700729072,6.49238882779784,6.24155942130066,5.37326823647128,0.898921899591458,0.979605739108923
isogroup104008,-0.0116979013076338,-0.15787548635068,-0.149059467691821,-0.157971869446174,0.310130896770893,NA
isogroup104240,5.61541485895123,5.77622907555177,5.2321926864995,5.45020191419468,0.550827472078715,0.896450097967717
isogroup104280,3.82859319955552,4.96928121341272,4.4223770856837,4.19847425685321,0.293075887924926,0.736674220982921
isogroup104329,3.54330027038522,2.79651407965821,5.35115426680761,2.79130663231898,8.43331442758452e-07,1.14147472621641e-05
isogroup104372,4.07513859091281,4.84123173548752,4.3064423282301,4.22176763534192,0.23264705873175,0.66935766322018
isogroup104531,3.75633106904865,3.81510348917942,3.99162730602882,3.82223534742973,0.778877578582643,0.960689492781196
isogroup104568,3.50840628389244,3.70630823454933,4.14102630047186,4.20395712889195,0.790728017409442,0.964031153433286
isogroup104631,3.91121575608227,3.92820783639197,3.64412795403261,3.39860601149046,0.788385484206256,0.96391402615883
isogroup104720,3.87424367258667,3.94783105185995,3.89815668133924,3.97923017919751,0.725147458249529,0.95123938772596
isogroup104918,3.85180166634957,4.320660590999,4.1140093537852,3.90556998374809,0.615854941785549,0.920448694599895
isogroup104920,3.45022485568811,3.40585492002168,3.53036113646693,3.49409865740285,0.840464566841974,0.97064071783112
isogroup104938,2.97516642993017,3.40682628276494,3.12771364353593,3.31671956872663,0.149540318939472,0.546622604048748
isogroup105002,2.448251798092,2.64731323585662,2.36605120489904,2.37161960338403,0.521045705555909,0.884366467506881
isogroup105005,3.07472277675403,3.73192525312827,3.38504685405824,3.1826192063813,0.42380330137402,0.830676640881237
isogroup105016,3.10423508213122,3.28401959766996,3.06281777434071,3.06842211699879,0.613021660373774,0.920406842815863
isogroup105166,3.1490758255487,3.14475148982679,3.28626727943766,3.14738610961554,0.68931866525806,0.943387978072527
isogroup105395,2.8930622618047,3.36069091793373,3.03065533169012,2.86432468394306,0.465438204347259,0.853126034285387
isogroup105415,2.42988386741277,2.30148558843344,2.34323416047971,2.42021261951572,0.876865133876859,0.977417078911014
isogroup105458,3.09640479207428,3.15985566467654,2.95044338037424,3.01889213396939,0.725048158085912,0.95123938772596
isogroup105610,2.98942323059301,3.33720949571841,2.95675471334554,2.99038265606465,0.313637146786802,0.755146332234734
isogroup105656,4.76310161814056,4.56608179449347,4.37915902076981,4.37535701456754,0.688680642868866,0.943387978072527
isogroup105702,3.99616984718113,3.96796905232146,4.03795765336621,3.80114263931409,0.574788868345369,0.906884739044945
isogroup105713,2.91989141625807,2.6872012731156,2.90735612426358,2.63824538467252,0.120684997767887,0.486695908317366
isogroup105813,3.08040074655217,3.07814304595291,3.91197634389166,3.45166191043577,0.478016666873711,0.859729004075408
