baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroup100022	28.2245313616769	1.66453126040444	1.04855858254494	1.58744708031904	0.112411423483852	0.468338318815967
isogroup100108	17.1690635158708	-0.626667131566072	0.962621514242333	-0.651000546210847	0.515046134294041	0.88085522280303
isogroup100124	31.2380709495162	1.64486502374568	0.979970943363931	1.67848346411107	0.0932527559183975	0.418786416254618
isogroup100150	41.8288112866415	0.717584501098719	0.972298282665358	0.738029176737418	0.460496719316504	0.851233665058933
isogroup100175	59.9585568781132	0.660266774941818	0.738037121234469	0.8946254272921	0.370987354617194	0.801917989831842
isogroup100212	14.2622707751361	1.11313294468922	1.08316447204291	1.02766751810996	0.304106252105475	0.74702759229903
isogroup100260	56.9644567431518	-6.40984727908263	1.29924913049313	-4.93350130367206	8.07685027722345e-07	1.09863823160318e-05
isogroup100363	25.5381496675584	1.1456077049491	1.01719137518055	1.12624598763016	0.260061412930005	0.70353994971514
isogroup100486	30.0659514799348	-9.53591275209629	3.52420799055917	-2.70583143152776	0.00681336214851987	0.0558553398212325
isogroup100532	24.5073214497679	0.141338611272275	0.866897438827844	0.163039599544073	0.870487255866349	0.976887148334152
isogroup100628	22.1949113891215	1.45745610499439	1.17855191356126	1.23664989910403	0.216217086216739	0.652490368546433
isogroup100677	21.6326493095309	1.16891687202027	0.873096105322552	1.33881810363641	0.180629895730802	0.60054088298963
isogroup100959	18.2395035201388	1.31583934474388	1.04090103327816	1.26413492030058	0.206181604692115	0.639772244486016
isogroup101118	17.6224649136033	-0.281208512062878	0.997321467523911	-0.281963761154209	0.777971297720842	0.960621605306496
isogroup101170	24.9826081578243	0.79253208069759	1.1421344079	0.693904390950615	0.487742169737337	0.864464145827202
isogroup101213	24.0054332998574	1.77529379350543	1.09175969787638	1.62608474828172	0.103931628061635	0.446667575658005
isogroup101218	17.7330312639115	2.13661033957703	1.18901939356137	1.79695163186314	0.0723432987565776	0.357616678650956
isogroup101638	13.7920371415541	2.05871956665492	1.41844951517548	1.45138726802006	0.14667205303776	0.540096291281615
isogroup101699	12.0518166454898	1.68429356630252	1.21636078018135	1.38469900850586	0.166144522397817	0.578226429438548
isogroup101742	17.6010544619302	-2.46103586472588	1.52068438559629	-1.61837386379216	0.105582051079701	0.452934086416851
isogroup101805	17.3592057608895	-1.823058008054	0.954874774516976	-1.90921161256584	0.0562347988577947	0.304662140640684
isogroup101808	17.9942042376354	-7.33343370690511	1.76800725282992	-4.14785272807394	3.3560816274689e-05	0.000395485072983934
isogroup101990	114.424984561318	-9.01698630679932	1.1176901141376	-8.06751906699718	7.17410046500741e-16	1.86255464986004e-14
isogroup101993	30.6848062657956	1.00916064782622	1.0608380910632	0.951286210711771	0.341459104959284	0.778879501701486
isogroup102033	25.6390984593566	0.718922215796087	0.954268278515236	0.75337536831327	0.451224380112938	0.8465784830479
isogroup102243	43.2243224301115	1.72417117646627	0.952156446617109	1.81080659863411	0.0701707945293917	0.350884415633795
isogroup102465	17.9232216504909	-0.0295228833501096	1.27297148715054	-0.0231921010392736	0.981497039371906	0.996761548566541
isogroup102599	71.3424559932111	-0.285426773116071	0.570027656388836	-0.500724429625518	0.616565076761412	0.920448694599895
isogroup102637	66.8062325322844	1.07813185048843	0.846920735439827	1.27300207135504	0.203017306835031	0.63537548886442
isogroup102730	56.8753115969624	0.888367146616064	0.931367493512707	0.953830955883521	0.34016921719383	0.777741002322924
isogroup102743	52.5550114819731	1.24584047133149	0.891279599238226	1.39781104873971	0.162169815607268	0.569684973386195
isogroup102783	82.0229840071275	-8.5253306734002	1.25641865345124	-6.7854219212538	1.15747736869429e-11	2.25824519530108e-10
isogroup102812	19.4156450592416	1.99481423007264	1.21068336175248	1.64767625713888	0.0994191227242489	0.435563023447241
isogroup102930	50.3701308386864	1.40385023955339	0.952467140925735	1.47390936572252	0.140505995724441	0.528130835730311
isogroup102932	49.2446416688542	1.14620220090128	0.908497181251057	1.2616464030443	0.207076050861762	0.640979304263426
isogroup102996	272.306168875733	-8.94175042740281	0.749698113539393	-11.9271347571998	8.54647419652879e-33	7.11601886888756e-31
isogroup103006	27.5669056002801	1.56834954135137	1.00648820443629	1.55823936578548	0.119176516428281	0.483688835508775
isogroup103090	18.3839785840025	1.40567018078095	1.62353017062841	0.865810938540713	0.386593849607929	0.8095244766463
isogroup103116	14.3935049843079	-0.964861224898711	1.19884960005618	-0.804822577288674	0.42092207117851	0.829326420604309
isogroup103201	37.1627958738674	1.33512098626404	1.02387602813267	1.30398695699421	0.192238029512767	0.618074273371586
isogroup103219	19.935703018172	-0.202761415168969	0.85524461341705	-0.237080025980935	0.812594707642048	0.968616570210501
isogroup103236	8.90422434895035	0.443532455865107	1.56804575838918	0.282856832137819	0.777286586690603	0.960617100283423
isogroup103244	16.4942226200621	0.838829683982131	1.25453440289437	0.668638247023631	0.503726268544769	0.875810088929451
isogroup103378	1.62782077512572	-5.33203182693339	3.75372349849164	-1.42046472764335	0.155472430339521	0.558243091920849
isogroup103431	150.555451034482	-6.37961756878077	0.801665236949265	-7.9579571057096	1.74902962719217e-15	4.4292630466805e-14
isogroup103627	49.9822690930739	1.66484792125164	0.945006603280142	1.7617315217406	0.0781146693876389	0.375351329129371
isogroup103668	9.34916207630748	1.09541477092523	1.43755184192137	0.762000185997572	0.446059893150135	0.842546218890139
isogroup103715	45.4215100697746	0.712816436442569	0.847717939669348	0.840865107467942	0.400423507732382	0.817208223892582
isogroup103735	33.4136104204164	1.7449676407414	0.98080110229635	1.77912487726197	0.0752192909786237	0.366476217518935
isogroup103750	32.0264166943547	0.497847313157952	1.18903010404879	0.418700343635306	0.675435144517178	0.939558090305841
isogroup103776	15.3165431002512	0.46841872859556	1.05245639842331	0.445071861691656	0.656267822732292	0.932877661139315
isogroup103797	59.6354782149896	-1.73828581917914	0.852941551018339	-2.03798937582977	0.0415509953765612	0.246191129159231
isogroup103803	229.229147845726	1.05465524511049	0.762952384714814	1.38233429272879	0.166869081122506	0.579349512500356
isogroup103821	61.1704762277027	-1.24052831565359	0.774232359337139	-1.60226875135479	0.109096192634034	0.460528110724655
isogroup103864	62.4554821961678	0.619177323187572	1.33774254944118	0.462852380262722	0.643470182702244	0.92834947335514
isogroup103904	30.8981394792841	0.189227770439211	0.724853659753143	0.261056515191845	0.79404892499261	0.964110368053334
isogroup103948	71.9533831154879	-0.102597277173466	0.80770392829662	-0.127023372772044	0.898921899591458	0.979605739108923
isogroup104008	1.26969266657119	-4.95449186121662	4.88152569365878	-1.01494741032555	0.310130896770893	NA
isogroup104240	47.0737582686292	0.413526244722841	0.693230409073587	0.596520636299648	0.550827472078715	0.896450097967717
isogroup104280	24.1570993407799	1.5831131430208	1.50572220971126	1.05139788256453	0.293075887924926	0.736674220982921
isogroup104329	33.3215930301862	-9.68888736306907	1.96726157696988	-4.92506308082965	8.43331442758452e-07	1.14147472621641e-05
isogroup104372	22.4272228332709	1.31382534116229	1.10075463888017	1.1935678440555	0.23264705873175	0.66935766322018
isogroup104531	14.6081774609438	-0.291687826297336	1.03884074913175	-0.280782041464128	0.778877578582643	0.960689492781196
isogroup104568	16.5224197154568	0.441838448994133	1.66501930218136	0.26536536147976	0.790728017409442	0.964031153433286
isogroup104631	14.4745123472878	-0.375750732462578	1.39992511316536	-0.268407737620315	0.788385484206256	0.96391402615883
isogroup104720	15.1232643369955	0.347287136510691	0.987768040346381	0.351587743605176	0.725147458249529	0.95123938772596
isogroup104918	17.2230212851316	0.573088409122394	1.14221657602053	0.501733577636414	0.615854941785549	0.920448694599895
isogroup104920	11.1725444537124	-0.228744855727589	1.13634215507243	-0.201299278308484	0.840464566841974	0.97064071783112
isogroup104938	9.44366787838393	2.34019381216978	1.62382983222081	1.44115705090185	0.149540318939472	0.546622604048748
isogroup105002	5.679275433398	1.17344638961969	1.82855484654587	0.641734313759482	0.521045705555909	0.884366467506881
isogroup105005	11.260522763932	1.43728962772911	1.7969706417918	0.799840350366523	0.42380330137402	0.830676640881237
